X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
MSANTD2,-0.315569392,75,0.0009573,0.024732342,0.109930575,9.367,0.5334,94.97,10.14,NA,NA,NA,NA,All
MSANTD3,0.04660367,47,0.701671244,0.873722083,0.534557904,0.3073,0.3368,0.3169,0.9409,NA,NA,NA,NA,All
MSANTD4,0.364786204,55,0.001139403,0.027466467,0.00759107,143.9,0.3712,26.94,0.1872,NA,NA,NA,NA,All
MSC,0.09367295,53,0.412443522,0.704201427,0.118342257,0.2976,0.5087,0.2863,0.5628,NA,NA,NA,NA,All
MSGN1,0.095275009,86,0.284796848,0.59740766,0.093778292,0.4624,0.2364,0.413,0.8932,NA,NA,NA,NA,All
MSH2,0.005597171,96,0.947003634,0.979352457,0.887150156,0.2857,0.4117,0.2147,0.5215,NA,NA,NA,NA,All
MSH3,0.176617048,125,0.016432828,0.133811624,0.687653814,193,0.5556,2.378,0.01232,NA,NA,NA,NA,All
MSH4,0.014651726,115,0.848706934,0.941499897,0.941384633,1.123,0.731,0.2304,0.2052,NA,NA,NA,NA,All
MSH5,0.166855199,111,0.03286701,0.196447446,0.015559513,1.435,0.2013,1.764,1.229,NA,NA,NA,NA,All
MSH6,-0.023733343,108,0.76471728,0.903504664,0.750597769,0.4471,1.343,0.2051,0.1527,NA,NA,NA,NA,All
MSI1,NA,NA,NA,NA,NA,0.5072,0.391,0.4038,0.7963,NA,NA,NA,NA,All
MSI2,NA,NA,NA,NA,NA,0.5157,0.3987,0.4545,0.8814,NA,NA,NA,NA,All
MSL1,-0.049192762,47,0.685957677,0.865924193,0.922717564,21.37,0.8981,0.3895,0.01823,NA,NA,NA,NA,All
MSL2,-0.126358168,36,0.366475563,0.66755838,0.591183382,0.5613,0.3279,0.5706,1.017,NA,NA,NA,NA,All
MSL3,-0.126463588,68,0.208184574,0.515202907,0.944770979,2.484,0.272,0.5168,0.208,NA,NA,NA,NA,All
MSLNL,0.221453711,101,0.006956596,0.081363511,0.867439269,2.383,NA,1.992,NA,NA,NA,NA,NA,All
MSMO1,0.043224303,65,0.674274129,0.860191717,0.375243907,0.2543,0.2719,0.2728,1.003,NA,NA,NA,NA,All
MSMP,-0.093994812,66,0.356960604,0.660258159,0.312816222,0.4316,0.2563,0.4582,1.062,NA,NA,NA,NA,All
MSN,-0.288581987,42,0.025309506,0.171313574,0.058479231,0.3536,1.109,3.007,2.712,NA,NA,NA,NA,All
MSR1,-0.079733294,117,0.294966622,0.604825968,0.129869269,0.2235,0.2479,0.3138,1.266,NA,NA,NA,NA,All
MSRA,-0.093169758,81,0.31040091,0.619456406,0.332216198,0.9332,0.2319,0.4915,0.5267,NA,NA,NA,NA,All
MSRB1,0.130311247,61,0.220111824,0.529911159,0.261254499,0.4349,0.3191,0.4383,1.008,NA,NA,NA,NA,All
MSRB2,0.205980514,87,0.020010102,0.149636424,0.578018434,869.2,0.6155,8.091,0.009309,NA,NA,NA,NA,All
MSRB3,0.148192538,69,0.137294382,0.420153893,0.614120266,1.958,1.286,0.4217,0.2154,NA,NA,NA,NA,All
MSS51,0.180803351,88,0.039995092,0.218645744,0.044947465,0.8355,1.553,2.116,1.362,NA,NA,NA,NA,All
MST1,-0.102852401,106,0.198882628,0.503664866,0.23858214,0.6801,0.2077,0.4795,0.705,NA,NA,NA,NA,All
MST1R,0.03585925,129,0.620624417,0.831977715,0.919490729,3.304,1.599,0.2185,0.06613,NA,NA,NA,NA,All
MSTN,-0.214185872,52,0.063510039,0.280078834,0.110379536,0.2926,1.088,0.6293,0.5782,NA,NA,NA,NA,All
MSTO1,0.275747194,108,0.000506414,0.016195411,0.025385258,60936,1.08,98.11,0.00161,NA,NA,NA,NA,All
MSX1,-0.269976807,43,0.034142587,0.200387092,0.175727538,0.81,0.3115,0.5763,0.7115,NA,NA,NA,NA,All
MSX2,NA,NA,NA,NA,NA,0.3919,0.3547,0.3674,0.9374,NA,NA,NA,NA,All
MTA1,-0.082170042,54,0.467863376,0.741750291,0.775157263,0.7002,0.3894,0.4082,0.583,NA,NA,NA,NA,All
MTA2,-0.170381453,39,0.20402387,0.509244124,0.386106001,0.9677,0.4631,0.4249,0.4391,NA,NA,NA,NA,All
MTA3,-0.261336582,48,0.029871689,0.186523807,0.444261244,1.192,0.3412,1.029,0.8631,NA,NA,NA,NA,All
MTAP,-0.156268978,59,0.148350489,0.436259897,0.107624408,0.4645,0.5685,1.001,1.762,NA,NA,NA,NA,All
MTARC1,-0.007567299,91,0.930317871,0.973962118,0.971322349,0.2218,0.3326,0.2242,0.6741,NAFLD GWAS,Chen et al. 2023,N,Y,GWAS_NAFLD
MTARC2,0.132310342,95,0.118077521,0.386862644,0.102037829,0.2512,0.7852,0.885,1.127,NA,NA,NA,NA,All
MTBP,-0.412965944,121,3.43336625437159e-08,3.02661333458898e-05,0.166557468,90.87,12.42,1400385,15410,NA,NA,NA,NA,All
MTCH1,0.010152729,38,0.940485125,0.977704334,0.908523375,0.3168,0.3153,0.3153,0.9952,NA,NA,NA,NA,All
MTCH2,-0.051808044,54,0.647156338,0.845381967,0.737482962,0.6243,0.3899,0.275,0.4405,NA,NA,NA,NA,All
