X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
CAMKMT,0.127631892,95,0.131649091,0.410164923,0.095759639,0.3116,0.2259,0.3704,1.189,NA,NA,NA,NA,All
CAMKV,-0.017909551,82,0.844438882,0.939198537,0.783414548,0.2336,0.3294,0.2375,0.7209,NA,NA,NA,NA,All
CAMLG,-0.039297942,80,0.670734974,0.858160533,0.916113601,0.2332,0.3465,0.254,0.733,NA,NA,NA,NA,All
CAMSAP1,0.174459554,108,0.02780394,0.180187346,0.057952991,0.2199,3.931,1.591,0.4048,NA,NA,NA,NA,All
CAMSAP2,-0.197611769,108,0.012702416,0.115551927,0.811429723,33462,0.6119,10.5,0.0003137,NA,NA,NA,NA,All
CAMSAP3,-0.044161094,96,0.59997154,0.819764178,0.483489291,0.4385,0.2758,0.2437,0.5557,NA,NA,NA,NA,All
CAMTA1,0.101664373,97,0.224850016,0.535651317,0.195856233,0.2154,0.5314,0.2766,0.5204,NA,NA,NA,NA,All
CAMTA2,0.395034218,109,5.58451641860945e-07,0.000174353,0.02683406,701836662,0.2854,123797,0.0001764,NA,NA,NA,NA,All
CAND1,NA,NA,NA,NA,NA,0.5933,0.4719,0.8462,1.426,NA,NA,NA,NA,All
CAND2,0.053305487,107,0.503471532,0.763216031,0.341481593,0.2121,0.3367,0.2432,0.7223,NA,NA,NA,NA,All
CANT1,-0.067075366,93,0.433184079,0.719700289,0.624031101,0.3145,0.3564,0.3707,1.04,NA,NA,NA,NA,All
CANX,-0.130515389,80,0.157960794,0.450809458,0.082291037,0.5439,0.2395,0.4637,0.8526,NA,NA,NA,NA,All
CAP1,0.06405846,74,0.505514453,0.763911344,0.270471691,0.2473,0.439,0.2549,0.5805,NA,NA,NA,NA,All
CAP2,0.149114488,95,0.078172377,0.310600183,0.22933694,3.09,0.4437,0.7107,0.23,NA,NA,NA,NA,All
CAPG,-0.187688837,81,0.041007617,0.220739997,0.046704047,2.034,0.2383,2.241,1.102,NA,NA,NA,NA,All
CAPN1,-0.07945324,83,0.381074482,0.678217243,0.355865757,0.5132,0.25,0.3829,0.746,NA,NA,NA,NA,All
CAPN10,-0.001907091,116,0.980102568,0.992142768,0.986561446,0.2124,0.2222,0.2072,0.9323,NA,NA,NA,NA,All
CAPN11,0.096712616,117,0.203974263,0.509210569,0.543526563,0.2845,0.2562,0.4162,1.463,NA,NA,NA,NA,All
CAPN12,0.202413304,113,0.009000267,0.094638561,0.064044506,1.452,1339204601620188160,546.2,4.079e-16,NA,NA,NA,NA,All
CAPN13,0.145201263,104,0.072461423,0.298818624,0.154106385,0.5474,0.5405,1.399,2.556,NA,NA,NA,NA,All
CAPN14,-0.008957298,111,0.908806751,0.9646253,0.978747414,2.289,3643,0.2083,5.718e-05,NA,NA,NA,NA,All
CAPN15,-0.090760442,94,0.286280927,0.5989986,0.152591429,0.2793,0.9127,0.3693,0.4047,NA,NA,NA,NA,All
CAPN2,0.08234008,92,0.33865833,0.643470915,0.112136163,0.2391,1.288,0.3968,0.3081,NA,NA,NA,NA,All
CAPN3,0.069443043,94,0.414577711,0.705428277,0.77162436,0.3187,0.5568,0.2265,0.4068,NA,NA,NA,NA,All
CAPN5,0.044773403,94,0.59886836,0.819162761,0.167160684,0.2175,0.3563,0.258,0.7242,NA,NA,NA,NA,All
CAPN6,-0.126274461,63,0.226971997,0.53830224,0.928838164,1.626,0.2619,0.47,0.2891,NA,NA,NA,NA,All
CAPN7,-0.264833707,82,0.003713277,0.056385096,0.174866918,16.05,0.2394,8.314,0.5179,NA,NA,NA,NA,All
CAPN8,0.508625978,95,1.87756051628442e-09,3.51714023712979e-06,0.075579442,1074884482,0.2466,31082897,0.02892,NA,NA,NA,NA,All
CAPN9,0.092490046,66,0.364710953,0.665988928,0.671775241,0.3278,0.8047,0.4328,0.5379,NA,NA,NA,NA,All
CAPNS1,0.097379457,88,0.268656185,0.581887786,0.632937137,0.2412,0.3,0.4609,1.536,NA,NA,NA,NA,All
CAPNS2,0.127937268,84,0.155870886,0.448041961,0.146977136,0.2884,4.19,0.4333,0.1034,NA,NA,NA,NA,All
CAPRIN1,-0.237210036,64,0.022129468,0.158066891,0.05196251,4.074,0.2654,4.121,1.012,NA,NA,NA,NA,All
CAPRIN2,0.009187289,117,0.9039492,0.962626936,0.965963638,1.083,1.848,0.2638,0.1427,NA,NA,NA,NA,All
CAPS,0.020593421,85,0.818237319,0.928103577,0.917882925,0.3035,2.508,0.2509,0.1,NA,NA,NA,NA,All
CAPS2,-0.146312912,100,0.076041817,0.305840758,0.194362682,0.6586,NA,0.5607,NA,NA,NA,NA,NA,All
CAPSL,0.098154274,55,0.381320653,0.678217243,0.834054512,1.738,198.7,0.8836,0.004447,NA,NA,NA,NA,All
CAPZA1,-0.115185994,37,0.403588726,0.696875291,0.29624784,0.4973,0.3582,0.4683,0.9416,NA,NA,NA,NA,All
CAPZA2,NA,NA,NA,NA,NA,0.5536,0.5549,0.4657,0.8393,NA,NA,NA,NA,All
CAPZA3,-0.064508411,74,0.502529415,0.762977905,0.849707553,31.29,9.292,0.2822,0.009017,NA,NA,NA,NA,All
CAPZB,0.029941909,38,0.825727968,0.931804167,0.898783255,0.3933,0.3471,0.4219,1.073,NA,NA,NA,NA,All
CARD10,0.134746444,107,0.090797931,0.336806384,0.783321079,4.363,0.2461,1.426,0.3269,NA,NA,NA,NA,All
CARD11,0.081420218,94,0.338779075,0.643470915,0.750034436,0.2474,0.7367,0.3158,0.4287,NA,NA,NA,NA,All
CARD14,0.401886309,121,7.88557769686298e-08,4.22047383447102e-05,0.055854687,819207,0.1937,279570,0.3413,NA,NA,NA,NA,All
CARD19,0.098001089,77,0.298508958,0.608550572,0.834183591,1.064,0.273,0.7426,0.6977,NA,NA,NA,NA,All
CARD6,0.195924896,39,0.144127035,0.430085174,0.777881406,1.36,NA,0.8706,NA,NA,NA,NA,NA,All
CARD9,-0.005819819,104,0.942606756,0.977841953,0.990961168,0.2613,0.3969,0.2084,0.525,NA,NA,NA,NA,All
CARF,-0.044472988,102,0.585936807,0.810485397,0.192779671,0.2147,0.4125,0.3008,0.7293,NA,NA,NA,NA,All
CARHSP1,-0.102239726,41,0.433943816,0.720419798,0.805968744,2.499,0.4109,0.9464,0.3787,NA,NA,NA,NA,All
CARM1,-0.199443866,64,0.054374116,0.257444171,0.006586245,0.6944,0.2696,1.273,1.834,NA,NA,NA,NA,All
CARMIL1,0.252926092,109,0.001352703,0.030437858,0.187377492,48.34,0.2854,5.518,0.1141,NA,NA,NA,NA,All
CARMIL2,0.077156959,114,0.317239792,0.626263041,0.649249525,2.671,0.3551,0.4201,0.1573,NA,NA,NA,NA,All
CARMIL3,0.092200188,103,0.256393275,0.568978175,0.07293617,0.2503,2.866,0.3589,0.1252,NA,NA,NA,NA,All
CARNMT1,-0.145217315,56,0.191083557,0.492785782,0.35096156,1.664,0.2733,0.9027,0.5426,NA,NA,NA,NA,All
CARNS1,0.198235353,109,0.012017529,0.112418657,0.07190142,5.651,0.2032,3.37,0.5964,NA,NA,NA,NA,All
CARS1,-0.095835959,115,0.21210274,0.519119983,0.180154058,0.2096,0.4126,0.409,0.9911,NA,NA,NA,NA,All
CARS2,0.029770827,119,0.693270002,0.869569845,0.841311755,0.4661,0.3624,0.1954,0.4192,NA,NA,NA,NA,All
CARTPT,0.086700812,43,0.496313674,0.759497266,0.329182244,0.3009,0.3211,0.3368,1.049,NA,NA,NA,NA,All
CASC1,0.121428888,122,0.103260137,0.36046038,0.363861232,0.5391,0.1931,0.4473,0.8297,NA,NA,NA,NA,All
CASC3,-0.044144886,93,0.605980704,0.823022188,0.326388661,0.2417,0.2358,0.2597,1.075,NA,NA,NA,NA,All
CASD1,-0.107060313,74,0.265790285,0.578859643,0.944315534,1.898,0.2548,0.401,0.2113,NA,NA,NA,NA,All
CASK,0.282546124,44,0.02484356,0.168999359,0.027306119,0.3546,10.4,2.513,0.2416,NA,NA,NA,NA,All
CASKIN1,0.042925751,102,0.5990397,0.819312672,0.77842649,0.3869,0.2407,0.2103,0.5437,NA,NA,NA,NA,All
CASKIN2,-0.002664174,98,0.974493226,0.990761415,0.989626972,0.2321,0.2401,0.2128,0.8865,NA,NA,NA,NA,All
CASP1,-0.224588671,80,0.01511206,0.127037352,0.046195205,NA,3.627,1.927,NA,NA,NA,NA,NA,All
CASP10,-0.047350319,68,0.637474233,0.84072253,0.663174583,0.2586,0.2897,0.2517,0.869,NA,NA,NA,NA,All
CASP12,0.113408329,53,0.321061992,0.629110227,0.474496413,0.4863,0.3428,0.3681,0.7569,NA,NA,NA,NA,All
CASP14,-0.058745701,80,0.525081189,0.776554137,0.278085337,0.2738,NA,0.2634,NA,NA,NA,NA,NA,All
CASP2,0.025259766,96,0.764195464,0.903369311,0.959421406,0.2982,1.132,0.2372,0.2096,NA,NA,NA,NA,All
CASP3,-0.109076175,91,0.207509226,0.514284136,0.223773049,0.4315,0.3992,0.4693,1.087,NA,NA,NA,NA,All
CASP5,0.222185942,57,0.043514607,0.226820834,0.762521712,9.164,1.327,1.733,0.1891,NA,NA,NA,NA,All
CASP6,0.100148208,97,0.231840492,0.544340847,0.031035915,0.2729,0.2853,0.4824,1.691,NA,NA,NA,NA,All
CASP7,-0.005022482,86,0.955035154,0.983518198,0.99560591,0.2252,0.4026,0.2737,0.6797,NA,NA,NA,NA,All
CASP8,-0.186640372,108,0.018590145,0.143530091,0.027630789,0.2237,1.125,0.9177,0.8157,NA,NA,NA,NA,All
CASP9,0.101423727,115,0.18664872,0.48738765,0.183222051,0.7689,0.1981,0.359,0.4669,NA,NA,NA,NA,All
CASQ1,0.201400161,86,0.023757986,0.164299576,0.30972806,12.84,0.272,4,0.3116,NA,NA,NA,NA,All
CASQ2,0.172530617,80,0.06197154,0.276729888,0.014689771,0.3344,0.3731,1.606,4.304,NA,NA,NA,NA,All
CASR,-0.309623148,92,0.000320765,0.012231522,0.035354581,0.4091,2.139,5.707,2.668,NA,NA,NA,NA,All
CASS4,0.260765611,129,0.000319013,0.012226938,0.023538769,102.3,0.2179,44.56,0.4358,NA,NA,NA,NA,All
CAST,-0.020056038,126,0.784434105,0.912404997,0.422009639,0.2265,0.1961,0.1964,0.8668,NA,NA,NA,NA,All
CASTOR1,-0.15093983,56,0.174178362,0.469468651,0.228587472,0.2873,0.6112,0.93,1.521,NA,NA,NA,NA,All
CASTOR2,-0.047277631,42,0.71404886,0.880139514,0.878711887,0.3131,0.3073,0.311,0.9934,NA,NA,NA,NA,All
CASZ1,0.182110155,100,0.027230937,0.178202106,0.446621871,100.7,0.3579,3.34,0.03317,NA,NA,NA,NA,All
CAT,-0.156088256,89,0.074533118,0.303025854,0.74054563,0.2718,0.9081,1.407,1.549,NA,NA,NA,NA,All
CATIP,0.156281636,103,0.054382053,0.257444171,0.784168396,5.58,0.2124,2.862,0.5128,NA,NA,NA,NA,All
CATSPER2,-0.181181533,48,0.132150779,0.411129661,0.41388512,0.5524,0.4249,0.7843,1.42,NA,NA,NA,NA,All
CATSPER3,0.218714547,102,0.007385226,0.084291045,0.04197931,0.2516,2.128,4.123,1.938,NA,NA,NA,NA,All
CATSPER4,0.04725478,106,0.555012969,0.793851742,0.456696167,0.4313,0.2096,0.2726,0.6321,NA,NA,NA,NA,All
CATSPERB,0.024722783,124,0.738028294,0.891450431,0.553659231,0.3419,0.7174,0.1916,0.2671,NA,NA,NA,NA,All
CATSPERD,-0.081312418,123,0.273284663,0.58675354,0.766216725,0.201,3.246,0.578,0.1781,NA,NA,NA,NA,All
CATSPERE,-0.077656654,122,0.297437676,0.607275341,0.534477946,0.2544,6.5,0.354,0.05446,NA,NA,NA,NA,All
CATSPERG,-0.070427872,125,0.338724258,0.643470915,0.624402372,0.2639,1.55,0.2477,0.1599,NA,NA,NA,NA,All
CATSPERZ,-0.016893095,99,0.838516649,0.936592483,0.978072118,0.9153,1.209,0.2333,0.193,NA,NA,NA,NA,All
CAV1,0.035986126,40,0.785726882,0.912924721,0.742533192,0.6588,0.3219,0.311,0.4721,NA,NA,NA,NA,All
CAV2,0.186582964,62,0.076635624,0.306818759,0.014881325,0.3998,0.2635,0.9163,2.292,NA,NA,NA,NA,All
CAV3,NA,NA,NA,NA,NA,0.5423,0.367,0.3815,0.7036,NA,NA,NA,NA,All
CAVIN1,-0.009419531,58,0.931182188,0.974138668,0.947236545,0.4487,0.3029,0.2747,0.6123,NA,NA,NA,NA,All
CAVIN2,0.184142005,103,0.02340649,0.162770147,0.631736229,241.2,0.3421,5.285,0.02191,NA,NA,NA,NA,All
CAVIN3,0.132612214,96,0.115289806,0.381988288,0.129092267,0.4662,0.2165,0.4249,0.9115,NA,NA,NA,NA,All
CAVIN4,-0.100582788,97,0.229821212,0.542400022,0.736437377,22.72,2.142,0.349,0.01536,NA,NA,NA,NA,All
CBARP,0.080155932,103,0.323791739,0.630899576,0.896158298,9.87,1.075,0.3437,0.03482,NA,NA,NA,NA,All
CBFA2T2,0.20036207,68,0.0461504,0.234691734,0.079161442,0.5675,0.2995,0.7921,1.396,NA,NA,NA,NA,All
CBFA2T3,0.265223212,96,0.001634401,0.034692831,0.930967778,3407,0.2221,22.81,0.006696,NA,NA,NA,NA,All
CBFB,NA,NA,NA,NA,NA,2.58,0.5239,4.063,1.575,NA,NA,NA,NA,All
CBL,0.192741077,96,0.022083741,0.158045339,0.046176918,0.5671,0.2323,1.76,3.104,NA,NA,NA,NA,All
CBLB,-0.130448922,84,0.147909223,0.43565939,0.103054915,0.4047,0.4756,0.9397,1.976,NA,NA,NA,NA,All
CBLC,0.29273172,101,0.000360267,0.013168216,0.053209503,0.4729,9.619,47.42,4.93,NA,NA,NA,NA,All
CBLIF,0.025365344,121,0.734674356,0.889827035,0.937765881,0.2145,0.5142,0.205,0.3987,NA,NA,NA,NA,All
CBLL1,-0.048890906,40,0.71186307,0.878456849,0.436250588,0.3444,0.3201,0.3626,1.053,NA,NA,NA,NA,All
CBLN1,NA,NA,NA,NA,NA,0.4548,0.6019,0.4225,0.7018,NA,NA,NA,NA,All
CBLN2,-0.15489223,39,0.248213079,0.562401149,0.845348219,1.371,0.3565,0.9115,0.6648,NA,NA,NA,NA,All
CBLN3,-0.123385654,63,0.237779328,0.551510061,0.04763958,0.2951,0.2869,0.439,1.488,NA,NA,NA,NA,All
CBLN4,-0.101236917,38,0.456594571,0.73472847,0.470759745,0.5358,0.354,0.4411,0.8233,NA,NA,NA,NA,All
CBR3,-0.021451104,91,0.804226446,0.922249036,0.946324872,0.4952,0.8208,0.2201,0.2682,NA,NA,NA,NA,All
CBR4,-0.017435817,82,0.848503212,0.941499897,0.856729984,0.2867,0.3347,0.2346,0.701,NA,NA,NA,NA,All
CBS,-0.124842436,101,0.128137479,0.403926852,0.066826466,0.2102,1.157,0.8519,0.7365,NA,NA,NA,NA,All
CBSL,-0.084612055,104,0.295242098,0.605018198,0.692769448,0.2275,0.8497,0.358,0.4214,NA,NA,NA,NA,All
CBWD1,0.210539074,93,0.01389048,0.121803825,0.059854142,0.4273,1.088,4.344,3.993,NA,NA,NA,NA,All
CBWD2,0.211854943,93,0.013306514,0.118556131,0.058784492,0.4279,1.092,4.396,4.026,NA,NA,NA,NA,All
CBWD3,0.212512878,93,0.013022752,0.117142231,0.058772106,0.4304,1.094,4.465,4.08,NA,NA,NA,NA,All
CBWD5,0.20729839,94,0.014871911,0.126094875,0.056263372,0.4548,0.917,4.225,4.607,NA,NA,NA,NA,All
CBWD6,0.226987439,93,0.007995087,0.088751386,0.0511691,0.414,1.877,6.867,3.658,NA,NA,NA,NA,All
CBX1,NA,NA,NA,NA,NA,0.6573,0.6095,1.355,2.062,NA,NA,NA,NA,All
CBX2,0.174112482,99,0.0356919,0.204699126,0.767981307,55.85,0.4238,3.36,0.06016,NA,NA,NA,NA,All
CBX3,NA,NA,NA,NA,NA,1.276,0.7097,0.4224,0.331,NA,NA,NA,NA,All
CBX5,NA,NA,NA,NA,NA,0.4325,0.7861,0.4477,0.5695,NA,NA,NA,NA,All
CBX6,-0.017838718,93,0.834885553,0.935330607,0.943704277,0.3891,1.148,0.2182,0.19,NA,NA,NA,NA,All
CBX7,-0.044306203,46,0.718757913,0.882459945,0.495099877,0.4333,2.784,0.3243,0.1165,NA,NA,NA,NA,All
CBX8,0.061489871,57,0.57637703,0.804446355,0.682153303,0.268,0.4175,0.402,0.9631,NA,NA,NA,NA,All
CBY1,0.02227177,36,0.873528136,0.951981139,0.882934696,0.323,0.3522,0.345,0.9795,NA,NA,NA,NA,All
CC2D1A,-0.028441586,115,0.711147493,0.878079949,0.958069914,0.1982,0.2851,0.2352,0.8249,NA,NA,NA,NA,All
CC2D1B,0.013657209,120,0.855810258,0.944207651,0.907393509,0.2313,0.2379,0.198,0.8325,NA,NA,NA,NA,All
CC2D2A,-0.16883401,130,0.01930584,0.146415649,0.922221765,2.543,0.5074,3.178,1.249,NA,NA,NA,NA,All
CC2D2B,0.160138612,134,0.024229124,0.165949566,0.033941448,11.95,0.1885,5.905,0.494,NA,NA,NA,NA,All
CCAR1,0.006786066,65,0.947390592,0.979480666,0.969145618,0.6068,0.2888,0.2669,0.4398,NA,NA,NA,NA,All
CCAR2,-0.069090122,90,0.427262857,0.714042675,0.185948201,0.2226,0.339,0.2716,0.8012,NA,NA,NA,NA,All
CCBE1,-0.173188612,95,0.040779808,0.220225659,0.833917637,0.4325,0.2983,1.17,2.705,NA,NA,NA,NA,All
CCDC102A,0.143331167,70,0.147652398,0.43565939,0.052739856,0.2507,3.783,0.8124,0.2148,NA,NA,NA,NA,All
CCDC102B,0.022817634,122,0.759489354,0.901294789,0.921957508,3.282,121.6,0.1935,0.001591,NA,NA,NA,NA,All
CCDC103,-0.014030745,102,0.863549554,0.948278275,0.751707276,0.2568,0.2372,0.2106,0.8203,NA,NA,NA,NA,All
CCDC105,0.118598063,104,0.142345048,0.427405909,0.72413668,0.5241,0.2167,0.5454,1.041,NA,NA,NA,NA,All
CCDC106,-0.009196724,71,0.925441483,0.972216339,0.973215316,0.3608,0.7506,0.2482,0.3306,NA,NA,NA,NA,All
CCDC107,-0.101963675,108,0.198504388,0.502961666,0.324928124,2.136,0.2038,0.844,0.3952,NA,NA,NA,NA,All
CCDC110,0.208572021,120,0.005519074,0.071322648,0.032813313,0.2692,35.82,16.5,0.4606,NA,NA,NA,NA,All
CCDC112,0.140735174,107,0.077334102,0.308471881,0.116531349,1.811,0.5692,0.3317,0.1831,NA,NA,NA,NA,All
CCDC113,0.121076756,111,0.121549989,0.392321372,0.097837267,0.2062,2.87,0.9268,0.3229,NA,NA,NA,NA,All
CCDC114,0.247138962,114,0.001357512,0.030498233,0.138598979,1.425,2.085,33.85,16.24,NA,NA,NA,NA,All
CCDC115,-0.067262534,87,0.447492239,0.728666228,0.266468554,0.2263,0.2784,0.2257,0.8105,NA,NA,NA,NA,All
CCDC117,0.00844732,78,0.928122152,0.973028864,0.823334492,0.2371,0.2407,0.241,1.001,NA,NA,NA,NA,All
CCDC12,-0.071800686,57,0.514164755,0.769720839,0.845128183,3.22,0.4939,0.4014,0.1247,NA,NA,NA,NA,All
CCDC120,0.094618147,92,0.271552273,0.585116083,0.124444444,0.2407,0.3564,0.2206,0.619,NA,NA,NA,NA,All
CCDC121,0.034427584,113,0.656846647,0.851219635,0.921714413,1.056,0.5044,0.2404,0.2276,NA,NA,NA,NA,All
CCDC122,-0.077745128,100,0.345831912,0.648999838,0.196844216,0.2393,0.2213,0.2553,1.067,NA,NA,NA,NA,All
CCDC124,0.054393782,64,0.59980234,0.819748177,0.858916344,1.039,1.305,0.2628,0.2014,NA,NA,NA,NA,All
CCDC125,-0.070119219,119,0.352899236,0.656310244,0.612701749,0.1984,0.6494,0.337,0.519,NA,NA,NA,NA,All
CCDC126,-0.089001881,47,0.46443502,0.739021892,0.248692377,0.3464,0.2953,0.4154,1.199,NA,NA,NA,NA,All
CCDC127,0.099391141,76,0.294945372,0.604825968,0.078162298,0.3175,1.895,0.3707,0.1956,NA,NA,NA,NA,All
CCDC13,0.292008726,116,0.000134105,0.00683569,0.018886269,2.747,0.8209,362.1,131.8,NA,NA,NA,NA,All
CCDC130,-0.038093361,104,0.637474463,0.84072253,0.897577158,0.2072,0.2579,0.2496,0.9677,NA,NA,NA,NA,All
CCDC134,-0.073402527,64,0.478917954,0.749484593,0.884893443,0.2857,0.3659,0.4015,1.097,NA,NA,NA,NA,All
CCDC136,0.368839029,118,1.14067753947345e-06,0.000289732,0.119051508,1.693,232.8,20949,89.99,NA,NA,NA,NA,All
CCDC137,0.141663149,106,0.076805276,0.307111921,0.790305069,8.891,0.3245,1.386,0.1559,NA,NA,NA,NA,All
CCDC138,0.07304958,113,0.345850307,0.648999838,0.901713279,2.31,15006,0.2996,1.996e-05,NA,NA,NA,NA,All
CCDC14,0.059989303,130,0.405812227,0.698942883,0.626188648,0.215,0.1921,0.2319,1.079,NA,NA,NA,NA,All
CCDC141,-0.013267336,131,0.853570119,0.943284027,0.547109859,0.2492,0.4376,0.1923,0.4395,NA,NA,NA,NA,All
CCDC142,-0.016862936,115,0.826214658,0.932212985,0.727938095,0.2494,0.4388,0.2086,0.4754,NA,NA,NA,NA,All
CCDC146,0.307274898,111,8.51731659427384e-05,0.00500551,0.048443382,0.2023,31103758,1447,4.653e-05,NA,NA,NA,NA,All
CCDC148,0.17950598,113,0.02053446,0.152053215,0.035940156,0.8765,0.2292,1.729,1.973,NA,NA,NA,NA,All
CCDC149,0.218128402,114,0.004691496,0.065098851,0.366290652,1161,0.5585,20.69,0.01782,NA,NA,NA,NA,All
CCDC150,0.187018407,109,0.017811616,0.139971091,0.018260411,0.2618,278.7,10.84,0.0389,NA,NA,NA,NA,All
CCDC151,0.240529105,113,0.001909816,0.037559723,0.398262288,855.5,0.2004,97.61,0.1141,NA,NA,NA,NA,All
CCDC152,0.086522582,86,0.331375777,0.637811122,0.100045011,0.37,0.2255,0.4182,1.13,NA,NA,NA,NA,All
CCDC153,0.1213022,86,0.173260972,0.468511175,0.065647281,0.2278,20.44,0.5478,0.0268,NA,NA,NA,NA,All
CCDC154,0.337538694,122,5.93017646635176e-06,0.000844433,0.05749685,58.78,2.138,1771,30.14,NA,NA,NA,NA,All
CCDC157,0.028728064,116,0.707142658,0.876167001,0.855304333,0.6814,0.3712,0.2303,0.338,NA,NA,NA,NA,All
CCDC158,0.233074045,107,0.003441088,0.053467079,0.052006537,0.3838,543043143,30.57,5.63e-08,NA,NA,NA,NA,All
CCDC159,0.336879504,94,7.56144824170906e-05,0.004682474,0.071311751,4.95,1.166,121.9,24.63,NA,NA,NA,NA,All
CCDC160,-0.025798131,94,0.761818156,0.902284588,0.972814645,1.299,0.3705,0.2788,0.2146,NA,NA,NA,NA,All
CCDC167,0.052367506,66,0.60780141,0.824225132,0.839953957,0.2537,0.3842,0.3055,0.7951,NA,NA,NA,NA,All
CCDC169,0.002966383,88,0.97311954,0.990291893,0.993440709,0.2917,0.2244,0.2909,0.9971,NA,NA,NA,NA,All
CCDC17,0.043175034,124,0.559153481,0.795469344,0.609074816,54.93,23.49,0.2696,0.004908,NA,NA,NA,NA,All
CCDC170,0.230283885,107,0.003848809,0.057391291,0.011095566,0.8132,0.5647,7.694,9.461,NA,NA,NA,NA,All
CCDC171,0.150276218,118,0.047431911,0.237889767,0.665205039,0.2088,16.39,2.532,0.1545,NA,NA,NA,NA,All
CCDC172,0.107991948,109,0.171233507,0.466735482,0.028768191,0.3464,0.2148,0.5252,1.516,NA,NA,NA,NA,All
CCDC173,0.178425646,116,0.019627528,0.147668316,0.055392853,4.56,0.1974,2.925,0.6414,NA,NA,NA,NA,All
CCDC174,-0.202726399,100,0.0139645,0.122166957,0.062211094,1.08,0.3531,3.442,3.187,NA,NA,NA,NA,All
CCDC175,0.009523325,126,0.896654179,0.960739985,0.940333719,0.3012,0.3786,0.1905,0.5031,NA,NA,NA,NA,All
CCDC177,0.027026198,84,0.764346469,0.903369311,0.479034029,0.2888,0.2276,0.3001,1.039,NA,NA,NA,NA,All
CCDC178,-0.031075014,119,0.680559356,0.862459049,0.554434462,0.1963,0.196,0.1959,0.9976,NA,NA,NA,NA,All
CCDC18,0.204028784,118,0.007112735,0.082246484,0.091821632,0.2013,67.8,9.453,0.1394,NA,NA,NA,NA,All
CCDC180,0.148233257,113,0.055763776,0.260820939,0.468156174,0.5298,0.3287,0.9275,1.751,NA,NA,NA,NA,All
CCDC181,-0.015146208,108,0.848523284,0.941499897,0.824230038,0.2091,0.2098,0.2105,1.003,NA,NA,NA,NA,All
CCDC182,0.239824395,76,0.011499232,0.10934485,0.01077208,0.254,32.95,4.142,0.1257,NA,NA,NA,NA,All
CCDC183,0.248630906,102,0.002323788,0.042122374,0.019345551,2.952,0.548,13.28,4.497,NA,NA,NA,NA,All
CCDC184,-0.023051201,68,0.818552663,0.928390994,0.803892448,0.2859,0.263,0.277,0.9689,NA,NA,NA,NA,All
CCDC186,-0.064810682,106,0.418194314,0.7076626,0.202407433,0.2204,0.9468,0.4869,0.5143,NA,NA,NA,NA,All
CCDC188,0.037913468,101,0.644037253,0.843813803,0.781040097,0.2435,0.6676,0.2302,0.3448,NA,NA,NA,NA,All
CCDC189,0.043510824,106,0.586786379,0.81079657,0.873499978,34.76,21.44,0.3547,0.01021,NA,NA,NA,NA,All
CCDC190,0.032698904,103,0.687305882,0.866708679,0.477640872,0.215,0.2233,0.2111,0.9456,NA,NA,NA,NA,All
CCDC191,0.117683739,125,0.109907173,0.371798849,0.701127726,1.534,0.3628,0.3777,0.2461,NA,NA,NA,NA,All
CCDC192,0.126884908,100,0.123913419,0.396364248,0.090969114,0.3438,0.2231,1.014,2.95,NA,NA,NA,NA,All
CCDC194,0.008255235,91,0.924001524,0.971739109,0.957654154,0.2453,0.2441,0.2357,0.9609,NA,NA,NA,NA,All
CCDC195,0.022253241,112,0.774976884,0.90789708,0.79146195,0.2005,0.2221,0.204,0.9186,NA,NA,NA,NA,All
CCDC196,0.083641621,100,0.310485798,0.619456406,0.199429307,0.2287,0.3126,0.3503,1.121,NA,NA,NA,NA,All
CCDC198,0.070449973,111,0.367642933,0.668351145,0.765170108,7.336,0.4748,0.7014,0.09562,NA,NA,NA,NA,All
CCDC201,0.213774202,64,0.039200573,0.216375613,0.82738678,13.34,0.2707,2.474,0.1854,NA,NA,NA,NA,All
CCDC22,0.039180195,96,0.641723748,0.842716339,0.35058706,0.3293,0.2334,0.3113,0.9453,NA,NA,NA,NA,All
CCDC24,0.004464062,113,0.95406206,0.983259337,0.94882347,0.2182,0.3467,0.3737,1.078,NA,NA,NA,NA,All
CCDC25,-0.211394287,37,0.125313225,0.398862763,0.961434255,4.159,0.3306,1.291,0.3104,NA,NA,NA,NA,All
CCDC28A,-0.070510631,98,0.397431928,0.691549462,0.113285008,0.2667,0.3997,0.2149,0.5376,NA,NA,NA,NA,All
CCDC28B,0.003923266,55,0.972085553,0.989826702,0.966226072,0.3196,6.908,0.4309,0.06238,NA,NA,NA,NA,All
CCDC3,-0.032897585,56,0.767096868,0.904591473,0.920908028,0.9064,0.2763,0.2808,0.3098,NA,NA,NA,NA,All
CCDC30,0.064265711,121,0.390520371,0.685090451,0.327071059,23.93,1.184,0.3698,0.01545,NA,NA,NA,NA,All
CCDC32,0.008048448,89,0.92673421,0.972619852,0.947059566,0.4836,0.8721,0.2226,0.2552,NA,NA,NA,NA,All
CCDC33,0.035597742,94,0.675781433,0.860649321,0.928415385,0.5409,4.086,0.2395,0.05862,NA,NA,NA,NA,All
CCDC34,0.095787553,92,0.265672458,0.578687131,0.62596805,0.222,0.2396,0.2398,1.001,NA,NA,NA,NA,All
